STANDARD	ALTERNATIVE
MARKER	MARKER
MARKER	MARKERNAME
MARKER	MARKERID
MARKER	RSID
MARKER	SNP
MARKER	SNPID
CHR	CHR
CHR	CHROM
CHR	CHROMOSOME
POSITION	POS
POSITION	POSITION
EFFECT_ALL	ALLELE1
EFFECT_ALL	CODEDALL
EFFECT_ALL	CODEDALLELE
EFFECT_ALL	CODED_ALL
EFFECT_ALL	CODED_ALLELE
EFFECT_ALL	CODED-ALL
EFFECT_ALL	CODED-ALLELE
EFFECT_ALL	CODINGALL
EFFECT_ALL	CODINGALLELE
EFFECT_ALL	CODING_ALL
EFFECT_ALL	CODING_ALLELE
EFFECT_ALL	CODING-ALL
EFFECT_ALL	CODING-ALLELE
EFFECT_ALL	EFFECTALL
EFFECT_ALL	EFFECTALLELE
EFFECT_ALL	EFFECT_ALL
EFFECT_ALL	EFFECT_ALLELE
EFFECT_ALL	EFFECT-ALL
EFFECT_ALL	EFFECT-ALLELE
OTHER_ALL	ALLELE2
OTHER_ALL	NONCODEDALL
OTHER_ALL	NONCODEDALLELLE
OTHER_ALL	NON_CODED_ALL
OTHER_ALL	NON_CODED_ALLELE
OTHER_ALL	NON-CODED-ALL
OTHER_ALL	NON-CODED-ALLELE
OTHER_ALL	NON_EFFECT_ALLELE
OTHER_ALL	NON-EFFECT-ALLELE
OTHER_ALL	NONCODED_ALL
OTHER_ALL	NONCODED-ALL
OTHER_ALL	NONCODED_ALLELE
OTHER_ALL	NONCODED-ALLELE
OTHER_ALL	NONCODEDALLELE
OTHER_ALL	NON_COD_ALL
OTHER_ALL	NON-COD-ALL
OTHER_ALL	NONCODINGALL
OTHER_ALL	NONCODINGALLELE
OTHER_ALL	NONCODING_ALL
OTHER_ALL	NONCODING-ALL
OTHER_ALL	NON_CODING_ALL
OTHER_ALL	NON-CODING-ALL
OTHER_ALL	NON_CODING_ALLELE
OTHER_ALL	NON-CODING-ALLELE
OTHER_ALL	NONCODING_ALLELE
OTHER_ALL	NONCODING-ALLELE
OTHER_ALL	OTHER_ALL
OTHER_ALL	OTHER_ALLELE
STRAND	STRAND
STRAND	STRAND_GENOME
EFFECT	EFFECT
EFFECT	BETA
STDERR	STDERR
STDERR	SE
STDERR	SD
PVALUE	PVALUE
PVALUE	P_VALUE
PVALUE	PVAL
PVALUE	P
EFF_ALL_FREQ	FREQLABEL
EFF_ALL_FREQ	AF_CODED_ALL
EFF_ALL_FREQ	AF_CODED_ALLELE
EFF_ALL_FREQ	CAF
EFF_ALL_FREQ	COD_ALL_FREQ
EFF_ALL_FREQ	CODED_ALL_FREQ
EFF_ALL_FREQ	CODED_ALLELE_FREQ
EFF_ALL_FREQ	EAF
HWE_PVAL	HWE_PVAL
HWE_PVAL	HWE_P
HWE_PVAL	P.HWE
HWE_PVAL	P_HWE
CALLRATE	CALLRATE
CALLRATE	CALL_RATE
CALLRATE	CALL.FREQ
N_TOTAL	N_TOTAL
N_TOTAL	N
N_TOTAL	SAMPLE_SIZE
IMPUTED	IMPUTED
IMPUTED	IMP
IMPUTED	TYPE
USED_FOR_IMP	USED_FOR_IMP
USED_FOR_IMP	USED_FOR_IMPUTATION
IMP_QUALITY	IMP_QUALITY
IMP_QUALITY	IMP_QUAL
IMP_QUALITY	IMP_INFO
IMP_QUALITY	INFO
IMP_QUALITY	OEVAR
IMP_QUALITY	OEVAR_IMP
IMP_QUALITY	OEVER_IMP
IMP_QUALITY	PROPER_INFO
IMP_QUALITY	PROPERINFO
IMP_QUALITY	R2MACH
IMP_QUALITY	MACH_QUALITY
IMP_QUALITY	RSQR
